State,Case number,Vehicle count,People count IN,People count OUT,Day,Month,Year,Day of week,Hour,Minute
Virginia,510233,1,1,0,18,5,2021,3,23,57
Virginia,510234,2,3,0,19,5,2021,4,21,27
Virginia,510235,2,4,0,21,5,2021,6,14,41
Virginia,510236,2,4,0,22,5,2021,7,0,22
Virginia,510237,1,2,0,23,5,2021,1,13,0
Virginia,510238,1,2,0,24,5,2021,2,21,30
Virginia,510239,1,1,0,23,5,2021,1,0,55
Virginia,510240,1,1,0,22,5,2021,7,1,5
Virginia,510241,1,1,0,12,3,2021,6,10,15
Virginia,510242,2,6,0,19,5,2021,4,14,14
Virginia,510243,2,2,0,22,5,2021,7,13,7
Virginia,510244,1,1,0,20,5,2021,5,20,15
Virginia,510245,2,2,0,24,5,2021,2,18,10
Virginia,510246,1,1,0,25,5,2021,3,13,14
Virginia,510247,1,1,0,23,5,2021,1,13,45
Virginia,510248,1,1,0,27,5,2021,5,1,18
Virginia,510249,1,1,0,26,5,2021,4,20,55
Virginia,510250,1,1,0,16,5,2021,1,13,56
Virginia,510251,1,1,1,26,5,2021,4,4,37
Virginia,510252,2,3,0,17,5,2021,2,21,57
Virginia,510253,2,2,0,19,4,2021,2,0,17
Virginia,510254,1,1,0,30,5,2021,1,4,0
Virginia,510255,1,1,0,28,5,2021,6,15,28
Virginia,510256,2,2,0,28,5,2021,6,12,20
Virginia,510257,3,3,1,16,5,2021,1,5,30
Virginia,510258,1,1,0,29,5,2021,7,19,55
Virginia,510259,1,1,0,31,5,2021,2,15,12
Virginia,510260,1,1,0,27,5,2021,5,22,39
Virginia,510261,1,1,0,30,5,2021,1,9,53
Virginia,510262,1,1,0,31,5,2021,2,18,15
Virginia,510263,2,3,0,29,5,2021,7,10,42
Virginia,510264,1,2,0,6,5,2021,5,20,10
Virginia,510265,1,1,1,25,5,2021,3,21,47
Virginia,510266,2,2,1,2,4,2021,6,20,31
Virginia,510267,1,1,1,21,5,2021,6,10,6
Virginia,510268,1,2,0,4,6,2021,6,19,59
Virginia,510269,2,2,0,4,6,2021,6,23,56
Virginia,510270,1,1,1,3,6,2021,5,16,47
Virginia,510271,1,1,0,4,6,2021,6,23,6
Virginia,510272,1,2,0,27,5,2021,5,12,17
Virginia,510273,1,1,0,26,5,2021,4,17,59
Virginia,510274,1,1,1,16,4,2021,6,21,15
Virginia,510275,2,2,0,28,5,2021,6,16,58
Virginia,510276,1,1,0,15,5,2021,7,1,44
Virginia,510277,2,2,0,5,6,2021,7,23,45
Virginia,510278,2,2,0,29,5,2021,7,19,24
Virginia,510279,2,2,0,6,6,2021,1,11,50
Virginia,510280,1,1,0,2,6,2021,4,8,20
Virginia,510281,2,6,0,6,6,2021,1,16,52
Virginia,510282,1,1,1,4,6,2021,6,2,18
Virginia,510283,3,3,0,27,5,2021,5,23,34
Virginia,510284,1,1,1,3,6,2021,5,11,3
Virginia,510285,2,2,0,31,5,2021,2,14,45
Virginia,510286,1,1,0,9,6,2021,4,18,0
Virginia,510287,1,1,0,31,5,2021,2,17,48
Virginia,510288,2,4,0,10,6,2021,5,14,40
Virginia,510289,1,1,0,4,6,2021,6,22,2
Virginia,510290,2,3,0,27,5,2021,5,15,21
Virginia,510291,2,2,0,10,6,2021,5,15,50
Virginia,510292,1,1,0,15,6,2021,3,12,48
Virginia,510293,2,2,0,17,5,2021,2,14,4
Virginia,510294,2,3,1,1,6,2021,3,3,6
Virginia,510295,3,3,0,15,6,2021,3,12,7
Virginia,510296,1,1,0,14,6,2021,2,17,9
Virginia,510297,1,1,0,6,6,2021,1,14,42
Virginia,510298,1,1,0,16,6,2021,4,20,21
Virginia,510299,2,3,0,20,5,2021,5,10,30
Virginia,510300,2,2,0,11,6,2021,6,13,5
Virginia,510301,1,3,1,11,6,2021,6,4,40
Virginia,510302,3,3,0,18,6,2021,6,18,36
Virginia,510303,1,1,0,20,6,2021,1,18,46
Virginia,510304,2,2,0,24,3,2021,4,9,24
Virginia,510305,2,1,0,17,4,2021,7,19,30
Virginia,510306,2,2,0,28,5,2021,6,22,36
Virginia,510307,1,1,0,27,6,2021,1,7,56
Virginia,510308,2,3,0,25,6,2021,6,21,51
Virginia,510309,3,6,0,23,6,2021,4,14,50
Virginia,510310,2,3,0,17,6,2021,5,14,42
Virginia,510311,1,1,1,25,6,2021,6,13,52
Virginia,510312,1,1,0,29,5,2021,7,22,53
Virginia,510313,1,1,0,26,6,2021,7,23,45
Virginia,510314,1,1,1,1,1,2021,6,18,27
Virginia,510315,2,3,0,18,6,2021,6,18,58
Virginia,510316,1,1,0,28,6,2021,2,2,52
Virginia,510317,1,1,0,17,6,2021,5,15,3
Virginia,510318,2,4,0,28,6,2021,2,12,12
Virginia,510319,2,2,0,24,6,2021,5,15,51
Virginia,510320,1,1,0,4,7,2021,1,12,45
Virginia,510321,1,1,0,5,7,2021,2,18,30
Virginia,510322,1,1,0,1,7,2021,5,19,38
Virginia,510323,1,1,1,29,6,2021,3,2,53
Virginia,510324,1,1,0,6,4,2021,3,12,26
Virginia,510325,2,2,1,28,4,2021,4,23,55
Virginia,510326,3,4,0,28,6,2021,2,19,34
Virginia,510327,1,2,0,3,7,2021,7,12,30
Virginia,510328,1,1,1,6,7,2021,3,15,25
Virginia,510329,1,1,0,4,7,2021,1,12,33
Virginia,510330,6,1,0,6,7,2021,3,22,25
Virginia,510331,1,1,0,7,7,2021,4,11,15
Virginia,510332,2,2,0,30,6,2021,4,11,52
Virginia,510333,2,6,0,4,4,2021,1,17,11
Virginia,510334,2,2,1,12,4,2021,2,14,54
Virginia,510335,1,2,0,23,4,2021,6,3,16
Virginia,510336,2,6,0,28,4,2021,4,12,15
Virginia,510337,2,1,0,12,5,2021,4,18,37
Virginia,510338,2,2,0,27,5,2021,5,17,23
Virginia,510339,5,8,0,26,5,2021,4,1,45
Virginia,510340,1,1,0,1,6,2021,3,11,4
Virginia,510341,1,1,0,7,6,2021,2,2,47
Virginia,510342,2,2,0,25,6,2021,6,6,45
Virginia,510343,1,1,0,26,6,2021,7,22,9
Virginia,510344,1,2,0,30,6,2021,4,8,20
Virginia,510345,2,4,0,15,6,2021,3,23,19
Virginia,510346,1,1,0,3,7,2021,7,12,15
Virginia,510347,2,2,0,2,7,2021,6,8,13
Virginia,510348,2,3,0,4,7,2021,1,16,25
Virginia,510349,1,2,0,6,7,2021,3,14,50
Virginia,510350,1,3,0,4,7,2021,1,7,5
Virginia,510351,1,3,0,1,7,2021,5,13,20
Virginia,510352,2,4,0,9,7,2021,6,17,13
Virginia,510353,3,6,1,7,7,2021,4,8,55
Virginia,510354,1,1,0,5,7,2021,2,14,21
Virginia,510355,2,2,0,7,7,2021,4,15,5
Virginia,510356,1,1,0,27,6,2021,1,11,21
Virginia,510357,1,1,0,13,7,2021,3,19,12
Virginia,510358,2,2,0,23,4,2021,6,10,31
Virginia,510359,1,1,0,16,5,2021,1,2,16
Virginia,510360,2,3,0,5,6,2021,7,14,14
Virginia,510361,1,1,1,29,6,2021,3,22,30
Virginia,510362,1,2,0,11,7,2021,1,1,22
Virginia,510363,3,3,0,5,7,2021,2,15,39
Virginia,510364,1,5,0,12,7,2021,2,10,58
Virginia,510365,1,2,0,11,7,2021,1,14,42
Virginia,510366,2,4,0,13,7,2021,3,15,45
Virginia,510367,1,1,0,14,7,2021,4,19,23
Virginia,510368,1,1,1,24,6,2021,5,20,46
Virginia,510369,2,2,0,15,4,2021,5,14,26
Virginia,510370,1,1,0,9,7,2021,6,12,39
Virginia,510371,1,1,1,8,7,2021,5,22,55
Virginia,510372,1,1,0,6,7,2021,3,17,57
Virginia,510373,1,3,0,18,7,2021,1,12,24
Virginia,510374,1,2,0,16,7,2021,6,23,20
Virginia,510375,3,3,0,15,7,2021,5,15,30
Virginia,510376,2,2,0,17,4,2021,7,1,54
Virginia,510377,5,5,0,17,4,2021,7,18,23
Virginia,510380,1,2,0,17,7,2021,7,12,10
Virginia,510381,1,1,0,19,7,2021,2,20,37
Virginia,510382,1,1,0,21,7,2021,4,6,30
Virginia,510383,2,2,0,7,6,2021,2,8,55
Virginia,510384,2,2,0,17,7,2021,7,1,23
Virginia,510385,2,3,0,21,7,2021,4,15,38
Virginia,510386,1,1,0,22,7,2021,5,23,33
Virginia,510387,1,1,0,23,7,2021,6,13,43
Virginia,510388,1,1,0,22,7,2021,5,20,50
Virginia,510389,1,1,1,21,7,2021,4,21,20
Virginia,510390,1,1,1,11,7,2021,1,23,16
Virginia,510391,1,2,0,24,7,2021,7,17,37
Virginia,510392,1,2,1,25,7,2021,1,0,12
Virginia,510393,2,2,1,7,4,2021,4,21,21
Virginia,510394,1,1,1,9,7,2021,6,0,9
Virginia,510395,2,2,0,11,7,2021,1,17,27
Virginia,510396,4,3,0,11,7,2021,1,18,9
Virginia,510397,2,4,0,28,4,2021,4,15,54
Virginia,510398,2,3,0,9,7,2021,6,23,6
Virginia,510399,2,3,0,19,7,2021,2,0,24
Virginia,510400,2,3,0,23,7,2021,6,17,54
Virginia,510401,3,3,0,22,7,2021,5,6,33
Virginia,510402,1,1,0,15,7,2021,5,0,49
Virginia,510403,1,1,1,22,7,2021,5,15,14
Virginia,510404,1,1,1,2,4,2021,6,6,5
Virginia,510405,1,2,0,25,7,2021,1,7,55
Virginia,510406,1,1,0,17,7,2021,7,17,45
Virginia,510407,1,1,0,25,7,2021,1,20,0
Virginia,510408,1,5,0,17,7,2021,7,19,25
Virginia,510409,1,1,1,25,7,2021,1,8,50
Virginia,510410,1,1,0,26,7,2021,2,15,49
Virginia,510411,1,1,0,30,6,2021,4,3,45
Virginia,510412,1,3,0,9,5,2021,1,16,5
Virginia,510413,1,1,0,28,7,2021,4,21,35
Virginia,510414,3,2,1,24,7,2021,7,21,42
Virginia,510415,4,6,0,15,7,2021,5,18,8
Virginia,510416,3,3,0,26,7,2021,2,17,30
Virginia,510417,2,3,2,21,7,2021,4,1,40
Virginia,510418,2,3,0,24,7,2021,7,14,38
Virginia,510419,1,1,0,29,7,2021,5,15,20
Virginia,510420,2,4,0,31,7,2021,7,14,40
Virginia,510421,1,1,0,23,4,2021,6,6,18
Virginia,510422,1,1,0,12,7,2021,2,20,20
Virginia,510423,3,3,0,18,7,2021,1,0,40
Virginia,510424,3,5,0,16,7,2021,6,1,15
Virginia,510425,1,1,1,25,7,2021,1,3,30
Virginia,510426,2,3,0,29,7,2021,5,13,58
Virginia,510427,1,1,0,31,7,2021,7,15,30
Virginia,510428,1,1,0,2,8,2021,2,4,37
Virginia,510429,1,1,0,1,8,2021,1,17,53
Virginia,510430,1,1,0,25,6,2021,6,7,37
Virginia,510431,1,2,0,9,7,2021,6,6,15
Virginia,510432,1,1,0,28,7,2021,4,16,50
Virginia,510433,2,2,0,2,8,2021,2,22,0
Virginia,510434,2,4,0,17,6,2021,5,22,17
Virginia,510435,2,2,0,6,6,2021,1,0,8
Virginia,510436,1,1,0,3,8,2021,3,22,9
Virginia,510437,1,1,0,2,8,2021,2,22,29
Virginia,510438,1,2,0,3,8,2021,3,4,28
Virginia,510439,1,1,1,30,7,2021,6,21,15
Virginia,510440,2,2,0,14,6,2021,2,13,57
Virginia,510441,2,2,0,12,6,2021,7,23,28
Virginia,510442,2,2,0,22,6,2021,3,9,50
Virginia,510443,1,1,0,23,6,2021,4,15,56
Virginia,510444,4,7,0,18,6,2021,6,14,28
Virginia,510445,2,2,0,18,7,2021,1,9,37
Virginia,510446,2,2,0,2,8,2021,2,13,19
Virginia,510447,2,2,0,31,7,2021,7,19,12
Virginia,510448,1,1,0,5,8,2021,5,2,45
Virginia,510449,1,1,0,28,7,2021,4,23,37
Virginia,510450,1,1,0,7,8,2021,7,15,33
Virginia,510451,2,2,0,7,8,2021,7,6,59
Virginia,510452,2,2,0,12,4,2021,2,9,14
Virginia,510453,1,1,0,8,5,2021,7,0,20
Virginia,510454,1,1,0,7,5,2021,6,17,44
Virginia,510455,1,2,0,8,5,2021,7,2,52
Virginia,510456,2,1,1,25,5,2021,3,21,35
Virginia,510457,2,2,0,26,5,2021,4,19,29
Virginia,510458,1,1,0,22,5,2021,7,15,6
Virginia,510459,1,2,0,3,7,2021,7,12,40
Virginia,510460,1,1,1,8,7,2021,5,9,39
Virginia,510461,2,2,0,6,7,2021,3,13,57
Virginia,510462,2,2,0,3,7,2021,7,2,4
Virginia,510463,1,1,0,28,7,2021,4,9,35
Virginia,510464,2,3,0,5,8,2021,5,4,12
Virginia,510465,3,4,0,9,8,2021,2,20,30
Virginia,510466,2,3,0,27,7,2021,3,18,47
Virginia,510467,1,1,1,27,7,2021,3,23,5
Virginia,510468,1,1,0,14,7,2021,4,21,44
Virginia,510469,1,5,0,30,7,2021,6,22,28
Virginia,510470,1,1,0,1,8,2021,1,16,55
Virginia,510471,1,2,0,26,7,2021,2,20,2
Virginia,510472,2,1,0,7,8,2021,7,23,44
Virginia,510473,2,5,0,23,5,2021,1,7,58
Virginia,510474,2,5,0,15,8,2021,1,14,12
Virginia,510475,1,3,0,5,8,2021,5,15,49
Virginia,510476,1,2,0,7,8,2021,7,2,0
Virginia,510477,2,2,1,10,7,2021,7,2,15
Virginia,510478,1,1,0,11,8,2021,4,19,40
Virginia,510479,1,1,0,12,8,2021,5,18,20
Virginia,510480,1,2,1,15,8,2021,1,20,23
Virginia,510481,2,2,0,18,6,2021,6,10,0
Virginia,510482,1,2,1,24,7,2021,7,17,22
Virginia,510483,2,2,0,16,7,2021,6,12,42
Virginia,510484,1,1,1,14,8,2021,7,20,29
Virginia,510485,1,1,0,11,3,2021,5,23,20
Virginia,510486,1,2,0,24,6,2021,5,17,43
Virginia,510487,2,3,0,8,8,2021,1,15,20
Virginia,510488,1,1,0,17,8,2021,3,3,20
Virginia,510489,2,2,0,18,8,2021,4,14,15
Virginia,510490,2,3,0,8,8,2021,1,9,51
Virginia,510491,1,6,0,16,8,2021,2,10,39
Virginia,510492,2,2,1,18,8,2021,4,6,47
Virginia,510493,1,1,0,17,8,2021,3,18,31
Virginia,510494,3,1,0,16,8,2021,2,18,44
Virginia,510495,1,1,1,20,8,2021,6,21,31
Virginia,510496,1,1,0,20,8,2021,6,20,40
Virginia,510497,2,2,0,6,8,2021,6,18,42
Virginia,510498,2,2,0,20,8,2021,6,13,0
Virginia,510499,1,1,0,22,8,2021,1,6,35
Virginia,510500,1,1,0,21,8,2021,7,3,50
Virginia,510501,1,1,1,20,5,2021,5,19,4
Virginia,510502,1,1,1,16,6,2021,4,5,23
Virginia,510503,2,2,0,29,7,2021,5,17,15
Virginia,510504,1,1,0,31,7,2021,7,7,30
Virginia,510505,1,1,0,22,8,2021,1,19,0
Virginia,510506,1,1,1,25,7,2021,1,23,5
Virginia,510507,1,1,0,19,8,2021,5,4,33
Virginia,510508,1,3,0,10,8,2021,3,17,48
Virginia,510509,2,3,0,24,8,2021,3,9,23
Virginia,510510,1,1,0,23,8,2021,2,12,50
Virginia,510511,2,2,0,19,8,2021,5,17,39
Virginia,510512,1,1,1,22,8,2021,1,0,8
Virginia,510513,1,1,0,26,8,2021,5,0,30
Virginia,510514,2,3,0,28,8,2021,7,13,42
Virginia,510515,2,3,0,24,8,2021,3,22,50
Virginia,510516,3,3,0,1,6,2021,3,16,30
Virginia,510517,2,3,0,27,8,2021,6,7,40
Virginia,510518,1,1,0,24,8,2021,3,14,12
Virginia,510519,2,3,1,26,8,2021,5,0,15
Virginia,510520,1,1,1,3,6,2021,5,13,13
Virginia,510521,1,1,0,22,7,2021,5,19,30
Virginia,510522,3,4,0,30,7,2021,6,15,47
Virginia,510523,2,2,0,27,8,2021,6,5,0
Virginia,510524,5,6,0,10,8,2021,3,11,30
Virginia,510525,2,2,0,14,5,2021,6,23,24
Virginia,510526,2,4,0,18,8,2021,4,18,22
Virginia,510527,2,2,0,1,9,2021,4,14,0
Virginia,510528,2,4,0,29,8,2021,1,18,20
Virginia,510529,1,1,0,28,8,2021,7,1,3
Virginia,510530,1,1,0,2,9,2021,5,1,47
Virginia,510531,1,1,0,1,9,2021,4,21,16
Virginia,510532,1,4,0,25,8,2021,4,10,15
Virginia,510533,2,2,0,4,9,2021,7,12,32
Virginia,510534,1,1,1,2,9,2021,5,10,30
Virginia,510535,1,2,0,1,9,2021,4,18,22
Virginia,510536,2,3,0,30,8,2021,2,21,25
Virginia,510537,1,1,0,6,9,2021,2,9,4
Virginia,510538,4,5,0,29,7,2021,5,10,40
Virginia,510539,1,4,0,30,8,2021,2,6,55
Virginia,510540,2,2,0,5,9,2021,1,14,4
Virginia,510541,2,2,0,7,9,2021,3,10,2
Virginia,510542,1,1,0,7,9,2021,3,0,0
Virginia,510543,2,2,0,22,8,2021,1,14,2
Virginia,510544,1,1,0,15,8,2021,1,7,50
Virginia,510545,1,1,0,28,8,2021,7,12,35
Virginia,510546,2,2,0,6,9,2021,2,15,55
Virginia,510547,1,1,0,6,9,2021,2,16,35
Virginia,510548,1,1,0,16,6,2021,4,17,40
Virginia,510549,1,1,0,24,8,2021,3,23,40
Virginia,510550,1,1,0,2,9,2021,5,19,20
Virginia,510551,1,1,0,29,8,2021,1,1,57
Virginia,510552,2,2,1,10,9,2021,6,21,50
Virginia,510553,1,1,0,13,9,2021,2,0,45
Virginia,510554,2,3,0,24,8,2021,3,9,33
Virginia,510555,2,3,0,11,8,2021,4,16,1
Virginia,510556,2,2,0,18,4,2021,1,13,50
Virginia,510557,1,1,0,30,8,2021,2,10,42
Virginia,510558,1,1,0,12,9,2021,1,21,45
Virginia,510559,1,2,0,4,9,2021,7,7,50
Virginia,510560,1,1,0,5,9,2021,1,20,55
Virginia,510561,2,2,0,15,9,2021,4,2,40
Virginia,510562,3,1,0,11,9,2021,7,17,12
Virginia,510563,1,1,0,9,8,2021,2,5,0
Virginia,510564,1,1,0,7,8,2021,7,9,40
Virginia,510565,2,0,1,30,8,2021,2,12,55
Virginia,510566,2,2,1,13,9,2021,2,16,50
Virginia,510567,2,7,0,9,9,2021,5,2,55
Virginia,510568,3,7,0,9,9,2021,5,3,0
Virginia,510569,2,2,1,15,9,2021,4,20,9
Virginia,510570,2,4,0,5,9,2021,1,11,42
Virginia,510571,1,1,0,19,8,2021,5,12,35
Virginia,510572,2,2,0,15,9,2021,4,8,23
Virginia,510573,1,1,0,28,8,2021,7,2,4
Virginia,510574,1,1,0,25,8,2021,4,7,41
Virginia,510575,1,1,1,18,9,2021,7,20,50
Virginia,510576,1,1,0,20,9,2021,2,11,20
Virginia,510577,1,1,0,16,9,2021,5,10,25
Virginia,510578,2,2,0,29,7,2021,5,11,16
Virginia,510579,1,1,1,20,9,2021,2,15,40
Virginia,510580,1,1,0,21,9,2021,3,3,0
Virginia,510581,1,1,0,21,9,2021,3,12,11
Virginia,510582,1,1,0,18,9,2021,7,15,38
Virginia,510583,2,2,0,23,9,2021,5,12,47
Virginia,510584,1,1,0,23,9,2021,5,5,50
Virginia,510585,1,1,0,23,9,2021,5,16,25
Virginia,510586,1,2,0,28,8,2021,7,3,10
Virginia,510587,1,1,0,29,8,2021,1,11,15
Virginia,510588,1,1,0,24,9,2021,6,20,8
Virginia,510589,1,1,0,24,9,2021,6,23,49
Virginia,510590,2,2,0,23,9,2021,5,12,21
Virginia,510591,3,4,0,24,9,2021,6,13,10
Virginia,510592,1,1,0,22,9,2021,4,22,44
Virginia,510593,2,3,0,22,9,2021,4,10,10
Virginia,510594,2,3,0,29,9,2021,4,1,47
Virginia,510595,1,1,1,25,9,2021,7,18,0
Virginia,510596,2,4,0,16,4,2021,6,16,41
Virginia,510597,1,2,1,1,10,2021,6,22,59
Virginia,510598,4,1,0,18,9,2021,7,12,30
Virginia,510599,2,2,0,30,9,2021,5,18,22
Virginia,510600,2,4,0,26,9,2021,1,22,5
Virginia,510601,1,1,0,2,10,2021,7,5,30
Virginia,510602,1,1,0,1,10,2021,6,8,56
Virginia,510603,3,10,0,5,9,2021,1,23,29
Virginia,510604,2,2,0,30,9,2021,5,15,0
Virginia,510605,2,3,0,1,10,2021,6,20,30
Virginia,510606,1,1,0,2,10,2021,7,17,19
Virginia,510607,1,1,0,1,10,2021,6,21,15
Virginia,510608,1,2,0,25,8,2021,4,1,14
Virginia,510609,2,8,1,25,9,2021,7,7,27
Virginia,510610,3,3,0,1,10,2021,6,14,37
Virginia,510611,1,1,0,2,10,2021,7,21,31
Virginia,510612,1,1,2,4,10,2021,2,19,46
Virginia,510613,3,2,0,28,9,2021,3,14,52
Virginia,510614,2,2,0,4,10,2021,2,1,5
Virginia,510615,1,2,0,20,8,2021,6,1,39
Virginia,510616,1,1,0,3,10,2021,1,17,53
Virginia,510617,2,2,0,6,10,2021,4,11,30
Virginia,510618,1,1,1,6,10,2021,4,19,42
Virginia,510619,3,1,1,13,9,2021,2,2,3
Virginia,510620,1,1,0,9,10,2021,7,20,50
Virginia,510621,1,1,0,30,9,2021,5,23,56
Virginia,510622,1,1,0,4,10,2021,2,13,56
Virginia,510623,1,1,0,8,10,2021,6,14,35
Virginia,510624,2,2,0,30,9,2021,5,9,10
Virginia,510625,1,1,0,3,10,2021,1,18,15
Virginia,510626,1,1,0,8,10,2021,6,11,15
Virginia,510627,1,1,0,8,10,2021,6,7,22
Virginia,510628,1,1,1,27,9,2021,2,19,42
Virginia,510629,2,3,0,9,10,2021,7,3,38
Virginia,510630,3,3,0,7,10,2021,5,19,10
Virginia,510631,2,2,0,5,10,2021,3,22,39
Virginia,510632,1,1,0,6,10,2021,4,5,15
Virginia,510633,5,1,0,3,10,2021,1,21,29
Virginia,510634,1,1,0,11,10,2021,2,2,45
Virginia,510635,2,3,0,11,10,2021,2,17,15
Virginia,510636,1,1,0,8,10,2021,6,22,0
Virginia,510637,1,1,0,10,10,2021,1,12,31
Virginia,510638,1,1,0,13,10,2021,4,8,37
Virginia,510639,1,1,0,16,10,2021,7,7,4
Virginia,510640,1,1,0,15,10,2021,6,0,19
Virginia,510641,2,2,0,4,10,2021,2,7,38
Virginia,510642,1,1,1,30,9,2021,5,0,7
Virginia,510643,1,2,0,12,10,2021,3,22,30
Virginia,510644,2,2,0,13,10,2021,4,18,31
Virginia,510645,1,1,1,11,8,2021,4,21,58
Virginia,510646,1,2,0,31,8,2021,3,19,15
Virginia,510647,1,1,0,22,9,2021,4,10,35
Virginia,510648,1,1,1,16,10,2021,7,22,45
Virginia,510649,1,1,0,20,9,2021,2,15,9
Virginia,510650,1,1,0,24,9,2021,6,7,27
Virginia,510651,2,3,0,28,9,2021,3,10,6
Virginia,510652,1,1,0,2,10,2021,7,22,50
Virginia,510653,4,4,0,3,10,2021,1,19,40
Virginia,510654,1,1,0,28,9,2021,3,15,0
Virginia,510655,3,3,0,15,10,2021,6,17,20
Virginia,510656,1,1,0,15,10,2021,6,15,3
Virginia,510657,3,3,0,30,9,2021,5,12,22
Virginia,510658,1,1,0,19,10,2021,3,10,2
Virginia,510659,2,2,0,5,10,2021,3,12,45
Virginia,510660,2,2,0,16,10,2021,7,16,33
Virginia,510661,1,1,0,18,9,2021,7,1,50
Virginia,510662,1,1,0,10,10,2021,1,17,59
Virginia,510663,2,4,0,13,10,2021,4,9,44
Virginia,510664,2,4,0,18,10,2021,2,12,20
Virginia,510665,1,1,0,21,10,2021,5,2,20
Virginia,510666,2,5,0,12,10,2021,3,8,1
Virginia,510668,2,2,0,20,10,2021,4,16,35
Virginia,510669,1,1,9,17,10,2021,1,19,40
Virginia,510670,2,3,0,21,10,2021,5,2,50
Virginia,510671,2,2,0,19,10,2021,3,12,50
Virginia,510672,2,2,0,21,10,2021,5,3,18
Virginia,510673,2,2,0,17,10,2021,1,18,20
Virginia,510674,1,1,1,23,9,2021,5,4,15
Virginia,510675,3,3,0,21,10,2021,5,21,52
Virginia,510676,1,1,0,23,10,2021,7,17,35
Virginia,510677,2,2,0,1,9,2021,4,19,30
Virginia,510678,3,1,0,22,10,2021,6,1,44
Virginia,510679,1,1,0,24,10,2021,1,7,30
Virginia,510680,1,2,0,23,10,2021,7,0,20
Virginia,510681,1,1,0,24,10,2021,1,7,50
Virginia,510682,2,2,0,26,10,2021,3,7,50
Virginia,510683,2,2,0,30,9,2021,5,9,5
Virginia,510684,1,2,1,31,8,2021,3,16,27
Virginia,510685,2,3,0,13,10,2021,4,12,45
Virginia,510686,2,2,0,7,10,2021,5,9,0
Virginia,510687,1,1,1,24,10,2021,1,15,25
Virginia,510688,4,4,0,4,10,2021,2,18,45
Virginia,510689,2,2,0,27,9,2021,2,19,5
Virginia,510690,1,1,0,20,10,2021,4,22,39
Virginia,510691,1,1,1,26,10,2021,3,5,52
Virginia,510692,1,1,1,19,10,2021,3,12,36
Virginia,510693,1,1,0,17,10,2021,1,1,19
Virginia,510694,3,3,0,27,10,2021,4,18,14
Virginia,510695,4,6,2,20,10,2021,4,5,5
Virginia,510696,2,3,0,29,10,2021,6,12,4
Virginia,510697,2,4,0,31,10,2021,1,12,0
Virginia,510698,1,1,1,29,10,2021,6,19,45
Virginia,510699,3,6,0,31,10,2021,1,20,25
Virginia,510700,1,1,0,30,10,2021,7,20,26
Virginia,510701,1,4,0,23,10,2021,7,3,9
Virginia,510702,1,1,0,29,10,2021,6,1,31
Virginia,510703,1,2,0,1,11,2021,2,17,5
Virginia,510704,1,1,0,29,10,2021,6,23,28
Virginia,510705,1,1,1,23,9,2021,5,6,37
Virginia,510706,1,1,0,29,10,2021,6,21,32
Virginia,510707,1,1,1,18,9,2021,7,21,0
Virginia,510708,1,1,0,1,11,2021,2,16,50
Virginia,510709,1,1,0,25,10,2021,2,2,30
Virginia,510710,1,1,0,23,10,2021,7,2,0
Virginia,510711,1,2,0,4,11,2021,5,1,45
Virginia,510712,1,4,0,4,11,2021,5,8,19
Virginia,510713,1,1,0,6,11,2021,7,16,0
Virginia,510714,2,5,0,25,9,2021,7,15,30
Virginia,510715,2,3,0,7,11,2021,1,22,38
Virginia,510716,2,2,0,16,9,2021,5,13,15
Virginia,510717,1,1,1,2,11,2021,3,20,12
Virginia,510718,2,3,0,6,11,2021,7,16,50
Virginia,510719,2,2,1,11,10,2021,2,22,29
Virginia,510720,3,3,0,15,10,2021,6,16,34
Virginia,510721,1,1,1,4,11,2021,5,7,13
Virginia,510722,2,3,0,8,11,2021,2,19,55
Virginia,510723,2,2,0,9,11,2021,3,7,0
Virginia,510724,1,1,1,8,11,2021,2,15,10
Virginia,510725,2,3,0,11,11,2021,5,14,3
Virginia,510726,3,4,0,12,11,2021,6,17,5
Virginia,510727,2,3,0,6,11,2021,7,17,6
Virginia,510728,1,1,0,30,10,2021,7,1,55
Virginia,510729,1,1,1,10,11,2021,4,6,10
Virginia,510730,1,1,0,12,11,2021,6,13,55
Virginia,510731,2,3,0,12,11,2021,6,17,26
Virginia,510732,1,2,0,24,10,2021,1,23,31
Virginia,510733,1,1,0,13,11,2021,7,11,30
Virginia,510734,1,1,0,23,10,2021,7,0,14
Virginia,510735,1,2,0,24,10,2021,1,3,51
Virginia,510736,2,5,0,3,11,2021,4,8,28
Virginia,510737,1,1,0,2,11,2021,3,17,19
Virginia,510738,2,3,0,5,11,2021,6,10,6
Virginia,510739,1,2,0,6,11,2021,7,12,0
Virginia,510740,2,1,0,14,11,2021,1,4,12
Virginia,510741,1,2,1,24,9,2021,6,21,40
Virginia,510742,2,2,0,6,11,2021,7,11,19
Virginia,510743,1,1,1,15,11,2021,2,15,35
Virginia,510744,1,2,0,17,11,2021,4,23,54
Virginia,510745,1,1,0,9,11,2021,3,20,27
Virginia,510746,2,1,1,15,11,2021,2,16,35
Virginia,510747,1,1,0,18,11,2021,5,17,1
Virginia,510748,1,1,0,18,11,2021,5,20,0
Virginia,510749,2,4,0,17,11,2021,4,10,37
Virginia,510750,1,1,0,19,11,2021,6,14,5
Virginia,510751,1,1,0,20,11,2021,7,14,28
